,date,Dry_Bulb_Temp,Wet_Bulb_Temp,Dew_Point_Temp,R_H,Vapor_Pressure,Wind_Speed,Total_Amount_cloud,Daily_Min_Temp,Sunshine_Hours,Amt_Individual_Layer_Cloud,Evaporation,Daily_Max_Temp,Total_Rainfall
0,1969-01-01,20.0,18.799999999999997,18.15,89.5,20.85,9.0,5.5,19.2,9.5,429.5,12.0,23.6,9.0
1,1969-01-02,18.5,18.1,17.9,96.0,20.5,1.0,5.0,16.7,8,639.0,41.5,28.7,8.0
2,1969-01-03,20.5,18.700000000000003,17.700000000000003,84.0,20.25,6.0,4.5,17.5,9.8,917.0,70.0,28.5,4.0
3,1969-01-04,19.7,17.0,15.35,76.0,17.45,12.0,1.5,17.8,9.5,916.5,79.5,29.7,3.0
4,1969-01-05,19.3,17.7,16.8,85.5,19.15,7.0,3.5,16.0,10,653.5,34.0,28.4,7.0
5,1969-01-06,18.7,17.2,16.3,86.0,18.55,7.0,0.0,15.1,9.3,900.0,99.0,28.0,0.0
6,1969-01-07,17.7,16.3,15.45,86.5,17.549999999999997,4.0,3.0,15.2,9.2,903.0,89.5,28.4,6.0
7,1969-01-08,16.9,15.4,14.399999999999999,85.0,16.4,0.0,2.0,14.3,10,902.0,77.5,27.6,4.0
8,1969-01-09,16.1,14.8,13.899999999999999,87.0,15.899999999999999,0.0,2.0,13.4,10.2,902.0,80.0,28.4,4.0
9,1969-01-10,16.8,14.5,12.899999999999999,77.5,14.899999999999999,1.0,0.0,14.3,9.5,900.0,99.0,30.0,0.0
10,1969-01-11,19.1,15.399999999999999,12.8,68.0,14.8,4.0,1.0,15.7,10.1,901.0,89.5,30.5,2.0
11,1969-01-12,18.7,15.8,13.85,73.5,15.850000000000001,2.0,1.0,16.0,10.1,901.0,89.5,32.0,2.0
12,1969-01-13,19.3,16.5,14.700000000000001,74.5,16.8,4.0,1.0,15.9,10,901.0,89.5,31.2,2.0
13,1969-01-14,17.2,15.0,13.5,79.0,15.5,3.0,2.0,15.3,9,902.0,87.0,31.5,4.0
14,1969-01-15,18.6,11.3,5.8,44.0,8.149999999999999,4.0,6.0,14.6,8,918.0,70.0,30.4,6.0
