,date,SLP,MSLP,EVP,DBT,WBT,RF
0,1969-01-01,950.35,1011.7,12.0,20.0,18.8,4.5
1,1969-01-02,949.9,1011.55,41.5,18.5,18.1,4.0
2,1969-01-03,950.65,1011.95,70.0,20.5,18.700000000000003,2.0
3,1969-01-04,951.35,1012.75,79.5,19.7,17.0,1.5
4,1969-01-05,952.85,1014.5,34.0,19.3,17.7,3.5
5,1969-01-06,953.8,1015.6,99.0,18.7,17.2,0.0
6,1969-01-07,954.75,1016.85,89.5,17.7,16.3,3.0
7,1969-01-08,954.55,1016.8,77.5,16.9,15.4,2.0
8,1969-01-09,954.35,1016.7,80.0,16.1,14.8,2.0
9,1969-01-10,953.55,1015.75,99.0,16.8,14.5,0.0
10,1969-01-11,952.8,1014.45,89.5,19.1,15.4,1.0
11,1969-01-12,953.45,1015.25,89.5,18.7,15.8,1.0
12,1969-01-13,953.3,1014.95,89.5,19.3,16.5,1.0
13,1969-01-14,952.95,1015.05,87.0,17.2,15.0,2.0
14,1969-01-15,953.8,1015.55,70.0,18.6,11.3,3.0
15,1969-01-16,954.75,1017.4,75.0,15.3,11.8,2.0
16,1969-01-17,953.85,1016.3,89.5,15.8,13.4,2.0
17,1969-01-18,952.45,1014.45,53.5,17.6,16.1,0.5
18,1969-01-19,952.0,1014.15,99.0,16.9,15.3,0.0
19,1969-01-20,953.5,1015.7,99.0,16.700000000000003,14.4,0.0
20,1969-01-21,954.4,1017.05,99.0,15.4,13.5,0.0
21,1969-01-22,953.85,1016.25,99.0,16.0,13.8,0.0
22,1969-01-23,951.85,1014.05,89.5,16.2,13.2,1.0
23,1969-01-24,951.6,1014.0,87.0,14.9,12.0,1.5
24,1969-01-25,951.5,1014.25,77.5,14.0,11.0,2.0
25,1969-01-26,949.85,1012.15,87.0,15.0,11.1,1.0
26,1969-01-27,947.7,1009.85,99.0,15.3,11.0,0.0
27,1969-01-28,947.7,1009.4,89.5,17.2,12.1,0.5
28,1969-01-29,949.65,1011.65,89.5,16.2,13.2,0.5
29,1969-01-30,950.0,1012.0,87.0,16.6,11.6,1.0
30,1969-01-31,949.65,1011.7,89.5,16.3,11.4,0.5
31,1969-02-01,950.05,1012.15,87.0,16.2,12.3,2.0
32,1969-02-02,951.1,1012.95,80.0,17.6,15.5,4.0
33,1969-02-03,951.0,1012.85,71.0,22.606235900084258,17.85662888825472,2.5
34,1969-02-04,951.3,1013.35,80.0,16.8,13.1,3.5
35,1969-02-05,950.85,1012.25,99.0,19.7,15.7,0.0
36,1969-02-06,952.05,1014.2,99.0,17.0,12.8,0.0
37,1969-02-07,954.2,1016.05,80.5,18.9,14.7,0.5
38,1969-02-08,956.35,1018.8,89.5,16.5,13.5,3.0
39,1969-02-09,956.25,1018.35,89.5,18.1,14.1,0.5
40,1969-02-10,954.0,1016.05,99.0,17.6,12.7,0.0
41,1969-02-11,951.05,1012.8,99.0,18.2,12.9,0.0
42,1969-02-12,950.1,1011.2,99.0,20.8,14.0,0.0
43,1969-02-13,947.6,1007.9,99.0,23.4,15.0,0.0
44,1969-02-14,950.8,1012.3,80.0,19.5,15.7,1.5
45,1969-02-15,950.85,1012.25,53.0,19.7,16.4,0.5
46,1969-02-16,951.75,1012.95,79.5,20.5,16.8,0.5
47,1969-02-17,952.35,1013.55,80.5,21.0,18.6,0.5
48,1969-02-18,951.7,1012.85,79.5,21.1,16.9,0.5
49,1969-02-19,950.2,1010.8,89.5,22.9,15.2,1.5
50,1969-02-20,950.55,1011.4,79.5,22.6,15.3,0.5
51,1969-02-21,950.35,1010.8,87.0,23.6,16.6,0.5
52,1969-02-22,949.45,1009.6,47.5,25.1,18.1,1.5
53,1969-02-23,948.7,1008.85,50.0,24.7,20.5,1.5
54,1969-02-24,950.3,1011.0,99.0,23.7,20.6,0.0
55,1969-02-25,951.0,1011.65,35.0,23.200000000000003,20.5,2.5
56,1969-02-26,952.95,1013.8,89.5,23.3,19.2,1.0
57,1969-02-27,954.1,1015.15,70.0,22.5,16.5,1.0
58,1969-02-28,953.4,1014.35,99.0,22.5,16.8,0.0
59,1969-03-01,951.6,1012.05,89.5,24.1,15.2,0.5
60,1969-03-02,951.85,1012.45,99.0,24.0,15.7,0.0
61,1969-03-03,953.25,1013.85,75.0,22.3,16.8,4.0
62,1969-03-04,952.75,1013.7,79.5,21.9,18.1,0.5
63,1969-03-05,951.4,1012.05,79.5,23.1,15.1,0.5
64,1969-03-06,951.1,1011.45,60.0,24.4,15.8,2.5
65,1969-03-07,949.75,1009.7,89.5,25.8,15.7,1.5
66,1969-03-08,950.35,1010.9,55.0,23.8,17.9,3.5
67,1969-03-09,950.7,1010.95,60.0,25.1,17.9,4.5
68,1969-03-10,950.35,1010.35,60.0,26.0,19.200000000000003,1.5
69,1969-03-11,950.9,1011.35,52.5,24.0,18.2,2.0
70,1969-03-12,951.1,1010.55,70.0,24.1,17.2,2.5
71,1969-03-13,950.3,1010.6,89.5,24.6,20.0,1.5
72,1969-03-14,950.05,1010.6,99.0,23.4,18.1,0.0
73,1969-03-15,950.5,1010.45,61.0,26.8,17.2,3.5
74,1969-03-16,952.25,1012.75,42.5,24.0,18.8,1.5
75,1969-03-17,950.15,1010.5,62.0,24.9,16.3,0.5
76,1969-03-18,948.8,1008.95,64.5,25.5,18.0,0.5
77,1969-03-19,949.1,1009.2,87.0,25.4,17.8,1.0
78,1969-03-20,948.75,1009.0,89.5,25.0,22.8,0.5
79,1969-03-21,949.35,1009.4,87.0,25.7,22.7,0.5
80,1969-03-22,949.8,1009.75,62.0,26.4,22.3,0.5
81,1969-03-23,950.6,1010.7,79.5,25.6,19.9,0.5
82,1969-03-24,949.65,1009.55,70.0,26.4,19.3,1.5
83,1969-03-25,949.15,1009.0,89.5,26.3,16.5,0.5
84,1969-03-26,948.85,1008.8,99.0,25.5,20.6,0.0
85,1969-03-27,948.3,1007.8,99.0,27.4,20.0,0.0
86,1969-03-28,948.7,1008.55,79.5,26.5,21.3,2.0
87,1969-03-29,948.9,1008.35,60.0,28.9,21.4,5.0
88,1969-03-30,949.3,1008.75,62.0,28.200000000000003,20.4,2.0
89,1969-03-31,948.1,1007.55,70.0,28.2,19.5,2.0
90,1969-04-01,947.9,1007.45,79.5,27.7,20.0,1.0
91,1969-04-02,947.9,1007.55,80.0,27.3,19.5,3.5
92,1969-04-03,948.2,1007.8,70.0,27.3,20.4,3.5
93,1969-04-04,949.6,1009.8,79.5,25.200000000000003,19.2,0.5
94,1969-04-05,951.45,1011.8,89.5,25.0,20.5,1.0
95,1969-04-06,952.2,1011.95,89.5,27.5,20.7,1.0
96,1969-04-07,951.05,1010.9,67.5,27.4,21.2,4.5
97,1969-04-08,950.05,1009.6,60.0,28.0,20.8,2.0
98,1969-04-09,952.7,1012.95,62.0,26.1,22.0,4.5
99,1969-04-10,950.95,1010.8,79.5,27.0,19.700000000000003,1.0
100,1969-04-11,949.95,1009.3,77.5,28.9,21.2,4.5
101,1969-04-12,949.8,1009.25,45.0,28.8,21.3,1.5
102,1969-04-13,949.4,1008.25,67.5,29.5,21.1,3.0
103,1969-04-14,947.5,1006.55,99.0,30.0,20.5,0.0
104,1969-04-15,946.1,1005.0,99.0,30.4,21.6,0.0
105,1969-04-16,945.4,1004.25,87.0,30.7,20.7,1.5
106,1969-04-17,944.7,1003.4,80.0,31.5,21.8,1.5
107,1969-04-18,945.7,1004.4,79.5,31.2,24.700000000000003,1.5
108,1969-04-19,947.1,1006.35,99.0,28.700000000000003,22.700000000000003,0.0
109,1969-04-20,946.6,1005.75,89.5,28.9,24.200000000000003,1.5
110,1969-04-21,948.15,1008.15,25.0,25.4,21.8,3.0
111,1969-04-22,947.25,1006.4,42.5,29.0,24.5,1.5
112,1969-04-23,946.8,1006.15,79.5,28.5,23.0,0.5
113,1969-04-24,946.55,1005.55,62.0,29.7,23.700000000000003,0.5
114,1969-04-25,948.5,1008.0,55.0,28.2,23.0,1.5
115,1969-04-26,949.4,1008.95,25.0,27.8,22.5,1.0
116,1969-04-27,948.7,1008.15,45.0,28.5,21.1,2.0
117,1969-04-28,947.3,1006.05,42.5,31.2,22.5,2.5
118,1969-04-29,946.25,1005.35,60.0,29.1,22.1,4.0
119,1969-04-30,946.6,1005.6,60.0,29.7,22.3,1.5
120,1969-05-01,947.05,1006.3,60.0,28.4,22.9,2.0
121,1969-05-02,945.25,1004.3,99.0,29.1,20.7,0.0
122,1969-05-03,946.6,1005.9,99.0,27.8,23.8,0.0
123,1969-05-04,948.95,1008.45,60.0,28.0,23.8,1.0
124,1969-05-05,950.6,1010.85,60.0,25.3,22.8,5.5
125,1969-05-06,949.25,1008.95,79.5,27.6,21.85,0.5
126,1969-05-07,948.1,1007.45,60.0,28.6,21.3,1.5
127,1969-05-08,946.45,1005.65,79.5,28.5,22.0,1.0
128,1969-05-09,945.9,1005.0,60.0,29.3,20.7,2.0
129,1969-05-10,946.4,1005.4,50.0,29.6,21.6,1.0
130,1969-05-11,945.7,1004.7,79.5,29.7,21.0,3.0
131,1969-05-12,943.75,1002.65,67.5,29.3,24.4,2.0
132,1969-05-13,943.7,1002.2,79.5,31.6,25.0,1.5
133,1969-05-14,943.4,1002.8,22.5,27.1,22.1,1.5
134,1969-05-15,944.55,1003.7,52.5,29.0,24.0,4.5
135,1969-05-16,945.0,1004.65,27.5,26.5,21.8,3.5
136,1969-05-17,943.4,1002.85,25.0,26.6,22.8,3.0
137,1969-05-18,942.1,1001.85,19.0,25.0,22.9,2.5
138,1969-05-19,941.3,1001.1,15.0,24.6,22.0,3.5
139,1969-05-20,943.3,1002.95,22.5,25.4,22.6,3.5
140,1969-05-21,944.55,1004.6,50.0,23.7,22.0,4.5
141,1969-05-22,943.4,1002.55,75.0,28.0,23.3,2.0
142,1969-05-23,941.5,1000.5,99.0,28.4,23.3,0.0
143,1969-05-24,941.45,1000.2,67.5,30.200000000000003,25.200000000000003,1.5
144,1969-05-25,942.2,1001.1,55.0,29.3,25.0,2.0
145,1969-05-26,943.0,1001.95,52.5,29.1,22.5,1.5
146,1969-05-27,943.0,1001.95,67.5,29.1,22.0,3.0
147,1969-05-28,941.05,999.2,42.5,32.3,19.4,1.5
148,1969-05-29,942.45,1001.1,67.5,30.5,19.3,4.0
149,1969-05-30,943.4,1002.15,70.0,30.3,21.5,2.5
150,1969-05-31,944.15,1003.05,40.0,29.8,21.8,2.5
151,1969-06-01,944.4,1003.05,27.5,31.1,21.8,1.0
152,1969-06-02,945.3,1004.55,25.0,27.8,22.6,3.0
153,1969-06-03,944.15,1003.55,25.0,27.4,22.700000000000003,1.0
154,1969-06-04,943.25,1002.6,52.5,27.2,22.1,4.0
155,1969-06-05,944.45,1003.7,20.0,27.8,21.9,2.5
156,1969-06-06,943.0,1002.2,67.5,27.7,22.6,2.0
